t,v1,v2
-0.00018,-2.4,0.16
-0.000178,-2.32,0.16
-0.000176,-2.32,0.16
-0.000174,-2.16,0.16
-0.000172,-2.16,0.16
-0.00017,-2.24,0.16
-0.000168,-2.24,0.16
-0.000166,-2.32,0.16
-0.000164,-2.32,0.24
-0.000162,-2.4,0.24
-0.00016,-2.4,0.24
-0.000158,-2.32,0.16
-0.000156,-2.24,0.16
-0.000154,-2.24,0.16
-0.000152,-2.24,0.08
-0.00015,-2.24,0.08
-0.000148,-2.32,0.08
-0.000146,-2.32,0.08
-0.000144,-2.4,0.08
-0.000142,-2.48,0.16
-0.00014,-2.4,0.16
-0.000138,-2.4,0.16
-0.000136,-2.4,0.16
-0.000134,-2.32,0.16
-0.000132,-2.24,0.16
-0.00013,-2.24,0.16
-0.000128,-2.24,0.24
-0.000126,-2.24,0.24
-0.000124,-2.32,0.24
-0.000122,-2.4,0.24
-0.00012,-2.4,0.24
-0.000118,-2.48,0.24
-0.000116,-2.4,0.24
-0.000114,-2.32,0.24
-0.000112,-2.32,0.24
-0.00011,-2.24,0.24
-0.000108,-2.24,0.24
-0.000106,-2.24,0.24
-0.000104,-2.32,0.24
-0.000102,-2.4,0.32
-0.0001,-2.48,0.24
-0.000098,-2.48,0.32
-0.000096,-2.4,0.24
-0.000094,-2.4,0.24
-0.000092,-2.24,0.24
-0.00009,-2.32,0.16
-0.000088,-2.24,0.16
-0.000086,-2.24,0.16
-0.000084,-2.24,0.08
-0.000082,-2.32,0.16
-0.00008,-2.32,0.16
-0.000078,-2.32,0.16
-0.000076,-2.4,0.16
-0.000074,-2.4,0.16
-0.000072,-2.4,0.16
-0.00007,-2.4,0.16
-0.000068,-2.24,0.16
-0.000066,-2.24,0.16
-0.000064,-2.24,0.16
-0.000062,-2.32,0.16
-0.00006,-2.32,0.24
-0.000058,-2.4,0.16
-0.000056,-2.48,0.24
-0.000054,-2.48,0.24
-0.000052,-2.48,0.16
-0.00005,-2.4,0.24
-0.000048,-2.32,0.16
-0.000046,-2.24,0.16
-0.000044,-2.32,0.16
-0.000042,-2.24,0.16
-0.00004,-2.32,0.08
-0.000038,-2.4,0.08
-0.000036,-2.4,0.16
-0.000034,-2.4,0.08
-0.000032,-2.4,0.16
-0.00003,-2.4,0.16
-0.000028,-2.32,0.16
-0.000026,-2.24,0.24
-0.000024,-2.24,0.24
-0.000022,-2.16,0.24
-0.00002,-2.24,0.24
-0.000018,-2.24,0.24
-0.000016,-2.32,0.24
-0.000014,-2.4,0.24
-0.000012,-2.4,0.16
-0.00001,-2.4,0.16
-0.000008,-7.12,-6.88
-0.000006,-7.2,-7.2
-0.000004,-7.2,-7.2
-0.000002,-7.2,-7.28
-1.0842E-19,-7.28,-7.28
0.000002,-7.2,-7.28
0.000004,-7.28,6.16
0.000006,-7.2,7.2
0.000008,-7.2,7.28
