t,v1,v2
0.000232,-1.08,4.36
0.000234,-1.16,4.36
0.000236,-1.24,4.36
0.000238,-1.28,4.32
0.00024,-1.36,4.28
0.000242,-1.44,4.28
0.000244,-1.52,4.24
0.000246,-1.56,4.24
0.000248,-1.64,4.2
0.00025,-1.76,4.2
0.000252,-1.84,4.12
0.000254,-1.92,4.08
0.000256,-2.04,4.04
0.000258,-2.12,4.04
0.00026,-2.16,4
0.000262,-2.24,3.96
0.000264,-2.28,3.88
0.000266,-2.36,3.84
0.000268,-2.44,3.8
0.00027,-2.52,3.72
0.000272,-2.6,3.68
0.000274,-2.64,3.64
0.000276,-2.72,3.6
0.000278,-2.8,3.56
0.00028,-2.84,3.48
0.000282,-2.88,3.44
0.000284,-2.92,3.4
0.000286,-3,3.32
0.000288,-3.08,3.28
0.00029,-3.12,3.2
0.000292,-3.2,3.08
0.000294,-3.24,3.04
0.000296,-3.32,2.96
0.000298,-3.36,2.92
0.0003,-3.44,2.84
0.000302,-3.48,2.72
0.000304,-3.56,2.72
0.000306,-3.56,2.64
0.000308,-3.6,2.56
0.00031,-3.64,2.48
0.000312,-3.72,2.4
0.000314,-3.76,2.32
0.000316,-3.8,2.28
0.000318,-3.88,2.2
0.00032,-3.88,2.12
0.000322,-3.92,2.04
0.000324,-3.92,1.96
0.000326,-3.92,1.88
0.000328,-3.96,1.8
0.00033,-4,1.72
0.000332,-4,1.6
0.000334,-4.04,1.52
0.000336,-4.08,1.44
0.000338,-4.12,1.36
0.00034,-4.12,1.28
0.000342,-4.12,1.2
0.000344,-4.12,1.12
0.000346,-4.16,1.04
0.000348,-4.16,0.96
0.00035,-4.2,0.88
0.000352,-4.2,0.8
0.000354,-4.2,0.68
0.000356,-4.24,0.56
0.000358,-4.24,0.48
0.00036,-4.24,0.36
0.000362,-4.24,0.28
0.000364,-4.24,0.2
0.000366,-4.24,0.08
0.000368,-4.24,0.04
0.00037,-4.24,-0.04
0.000372,-4.2,-0.12
0.000374,-4.2,-0.2
0.000376,-4.2,-0.28
0.000378,-4.2,-0.4
0.00038,-4.16,-0.48
0.000382,-4.12,-0.52
0.000384,-4.12,-0.6
0.000386,-4.08,-0.68
0.000388,-4.08,-0.76
0.00039,-4.04,-0.84
0.000392,-4,-0.92
0.000394,-4,-1.04
0.000396,-4,-1.12
0.000398,-3.96,-1.2
0.0004,-3.92,-1.28
0.000402,-3.92,-1.36
0.000404,-3.88,-1.44
0.000406,-3.88,-1.52
0.000408,-3.88,-1.6
0.00041,-3.84,-1.64
0.000412,-3.76,-1.68
0.000414,-3.72,-1.76
0.000416,-3.68,-1.84
0.000418,-3.6,-1.92
0.00042,-3.56,-2
0.000422,-3.56,-2.04
0.000424,-3.52,-2.12
0.000426,-3.48,-2.16
0.000428,-3.44,-2.24
0.00043,-3.36,-2.28
0.000432,-3.28,-2.36
0.000434,-3.24,-2.44
0.000436,-3.16,-2.52
0.000438,-3.12,-2.56
0.00044,-3.04,-2.64
0.000442,-3,-2.68
0.000444,-2.92,-2.72
0.000446,-2.88,-2.76
0.000448,-2.8,-2.84
0.00045,-2.72,-2.84
0.000452,-2.64,-2.96
0.000454,-2.6,-2.96
0.000456,-2.52,-3
0.000458,-2.44,-3.04
0.00046,-2.4,-3.08
0.000462,-2.36,-3.16
0.000464,-2.28,-3.16
0.000466,-2.2,-3.2
0.000468,-2.12,-3.24
0.00047,-2.08,-3.24
0.000472,-2,-3.28
0.000474,-1.92,-3.32
0.000476,-1.84,-3.36
0.000478,-1.76,-3.4
0.00048,-1.72,-3.4
0.000482,-1.6,-3.44
0.000484,-1.56,-3.44
0.000486,-1.52,-3.44
0.000488,-1.44,-3.48
0.00049,-1.32,-3.44
0.000492,-1.28,-3.48
0.000494,-1.2,-3.48
0.000496,-1.08,-3.48
0.000498,-1.04,-3.48
0.0005,-0.92,-3.48
0.000502,-0.84,-3.48
0.000504,-0.8,-3.48
0.000506,-0.72,-3.48
0.000508,-0.6,-3.48
0.00051,-0.56,-3.48
0.000512,-0.48,-3.48
0.000514,-0.4,-3.48
0.000516,-0.36,-3.48
0.000518,-0.24,-3.44
0.00052,-0.12,-3.44
0.000522,-0.08,-3.44
0.000524,0,-3.4
0.000526,0.08,-3.36
0.000528,0.16,-3.32
0.00053,0.2,-3.32
0.000532,0.28,-3.32
0.000534,0.32,-3.32
0.000536,0.4,-3.28
0.000538,0.48,-3.28
0.00054,0.56,-3.28
0.000542,0.6,-3.2
0.000544,0.72,-3.2
0.000546,0.76,-3.16
0.000548,0.88,-3.12
0.00055,0.92,-3.08
0.000552,1,-3.04
0.000554,1.08,-3
0.000556,1.12,-3
0.000558,1.2,-2.96
0.00056,1.28,-2.92
0.000562,1.36,-2.84
0.000564,1.4,-2.84
0.000566,1.48,-2.76
0.000568,1.52,-2.72
0.00057,1.6,-2.68
0.000572,1.6,-2.64
0.000574,1.68,-2.6
0.000576,1.72,-2.52
0.000578,1.8,-2.48
0.00058,1.84,-2.44
0.000582,1.92,-2.4
0.000584,1.96,-2.32
0.000586,2.04,-2.28
0.000588,2.08,-2.24
0.00059,2.12,-2.16
0.000592,2.12,-2.08
0.000594,2.2,-2
0.000596,2.24,-1.96
0.000598,2.24,-1.88
0.0006,2.28,-1.84
0.000602,2.36,-1.72
0.000604,2.4,-1.64
0.000606,2.44,-1.6
0.000608,2.52,-1.52
0.00061,2.52,-1.44
0.000612,2.56,-1.36
0.000614,2.56,-1.28
0.000616,2.6,-1.2
0.000618,2.6,-1.16
0.00062,2.64,-1.08
0.000622,2.68,-1
0.000624,2.68,-0.92
0.000626,2.72,-0.84
0.000628,2.72,-0.8
0.00063,2.76,-0.72
0.000632,2.72,-0.64
0.000634,2.76,-0.56
0.000636,2.76,-0.48
0.000638,2.76,-0.44
0.00064,2.76,-0.36
0.000642,2.76,-0.24
0.000644,2.8,-0.2
0.000646,2.8,-0.12
0.000648,2.84,-0.04
0.00065,2.8,0.04
0.000652,2.84,0.12
0.000654,2.8,0.2
0.000656,2.8,0.28
0.000658,2.76,0.32
0.00066,2.76,0.44
0.000662,2.76,0.52
0.000664,2.76,0.56
0.000666,2.76,0.64
0.000668,2.76,0.68
0.00067,2.76,0.76
0.000672,2.76,0.84
0.000674,2.72,0.92
0.000676,2.72,1
0.000678,2.72,1.04
0.00068,2.68,1.12
0.000682,2.64,1.2
0.000684,2.6,1.28
0.000686,2.6,1.36
0.000688,2.56,1.44
0.00069,2.52,1.48
0.000692,2.52,1.56
