t,v1,v2
-0.00036,-0.6,0.08
-0.000358,-0.56,0.08
-0.000356,-0.56,0.08
-0.000354,-0.56,0.08
-0.000352,-0.56,0.08
-0.00035,-0.56,0.08
-0.000348,-0.56,0.08
-0.000346,-0.56,0.08
-0.000344,-0.6,0.08
-0.000342,-0.6,0.08
-0.00034,-0.6,0.08
-0.000338,-0.6,0.08
-0.000336,-0.6,0.08
-0.000334,-0.6,0.08
-0.000332,-0.56,0.08
-0.00033,-0.56,0.08
-0.000328,-0.56,0.08
-0.000326,-0.56,0.08
-0.000324,-0.6,0.08
-0.000322,-0.6,0.08
-0.00032,-0.6,0.08
-0.000318,-0.6,0.08
-0.000316,-0.64,0
-0.000314,-0.64,0.08
-0.000312,-0.6,0
-0.00031,-0.6,0.08
-0.000308,-0.56,0.08
-0.000306,-0.56,0
-0.000304,-0.56,0
-0.000302,-0.56,0.08
-0.0003,-0.56,0
-0.000298,-0.56,0.08
-0.000296,-0.6,0.08
-0.000294,-0.56,0.08
-0.000292,-0.56,0.08
-0.00029,-0.56,0.08
-0.000288,-0.56,0.08
-0.000286,-0.56,0.08
-0.000284,-0.56,0.08
-0.000282,-0.6,0.08
-0.00028,-0.6,0.08
-0.000278,-0.6,0.08
-0.000276,-0.6,0.08
-0.000274,-0.6,0.08
-0.000272,-0.6,0.08
-0.00027,-0.56,0.08
-0.000268,-0.56,0.08
-0.000266,-0.56,0.08
-0.000264,-0.6,0.08
-0.000262,-0.56,0.08
-0.00026,-0.6,0.08
-0.000258,-0.56,0.08
-0.000256,-0.6,0.08
-0.000254,-0.6,0.08
-0.000252,-0.6,0.08
-0.00025,-0.6,0.08
-0.000248,-0.56,0.08
-0.000246,-0.56,0.08
-0.000244,-0.56,0.08
-0.000242,-0.6,0.08
-0.00024,-0.6,0.08
-0.000238,-0.64,0.08
-0.000236,-0.6,0.08
-0.000234,-0.6,0.08
-0.000232,-0.6,0.08
-0.00023,-0.6,0.08
-0.000228,-0.6,0.08
-0.000226,-0.64,0.08
-0.000224,-0.6,0.08
-0.000222,-0.6,0.08
-0.00022,-0.56,0.08
-0.000218,-0.56,0.08
-0.000216,-0.56,0.08
-0.000214,-0.56,0.08
-0.000212,-0.56,0.08
-0.00021,-0.56,0.08
-0.000208,-0.56,0.08
-0.000206,-0.56,0.08
-0.000204,-0.52,0.08
-0.000202,-0.52,0.08
-0.0002,-0.52,0.08
-0.000198,-0.52,0.08
-0.000196,-0.52,0.08
-0.000194,-0.56,0.08
-0.000192,-0.56,0.08
-0.00019,-0.56,0.08
-0.000188,-0.6,0.08
-0.000186,-0.56,0.16
-0.000184,-0.56,0.08
-0.000182,-0.56,0.08
-0.00018,-0.56,0.08
-0.000178,-0.56,0.08
-0.000176,-0.56,0.08
-0.000174,-0.56,0.08
-0.000172,-0.56,0.08
-0.00017,-0.6,0.08
-0.000168,-0.6,0.08
-0.000166,-0.6,0.08
-0.000164,-0.6,0.16
-0.000162,-0.6,0.16
-0.00016,-0.6,0.08
-0.000158,-0.56,0.16
-0.000156,-0.56,0.08
-0.000154,-0.56,0.08
-0.000152,-0.6,0.08
-0.00015,-0.6,0.08
-0.000148,-0.64,0.08
-0.000146,-0.6,0.08
-0.000144,-0.6,0.16
-0.000142,-0.6,0.08
-0.00014,-0.56,0.08
-0.000138,-0.56,0.08
-0.000136,-0.56,0.08
-0.000134,-0.56,0.16
-0.000132,-0.56,0.08
-0.00013,-0.56,0.08
-0.000128,-0.6,0.08
-0.000126,-0.6,0.08
-0.000124,-0.56,0.08
-0.000122,-0.6,0.16
-0.00012,-0.56,0.08
-0.000118,-0.56,0.08
-0.000116,-0.56,0.08
-0.000114,-0.56,0.08
-0.000112,-0.56,0.08
-0.00011,-0.56,0.08
-0.000108,-0.56,0.16
-0.000106,-0.6,0.08
-0.000104,-0.6,0.08
-0.000102,-0.6,0.08
-0.0001,-0.6,0.08
-9.8e-005,-0.6,0.08
-9.6e-005,-0.56,0.08
-9.4e-005,-0.56,0.08
-9.2e-005,-0.56,0.08
-9e-005,-0.6,0.08
-8.8e-005,-0.6,0
-8.6e-005,-0.6,0.08
-8.4e-005,-0.6,0.08
-8.2e-005,-0.64,0.08
-8e-005,-0.6,0.08
-7.8e-005,-0.6,0.08
-7.6e-005,-0.6,0.08
-7.4e-005,-0.56,0.08
-7.2e-005,-0.56,0.08
-7e-005,-0.56,0.08
-6.8e-005,-0.6,0
-6.6e-005,-0.6,0.08
-6.4e-005,-0.6,0.08
-6.2e-005,-0.6,0.08
-6e-005,-0.64,0.08
-5.8e-005,-0.64,0.08
-5.6e-005,-0.64,0
-5.4e-005,-0.56,0.08
-5.2e-005,-0.56,0.08
-5e-005,-0.56,0.08
-4.8e-005,-0.52,0.08
-4.6e-005,-0.56,0.08
-4.4e-005,-0.56,0.08
-4.2e-005,-0.56,0.08
-4e-005,-0.56,0.08
-3.8e-005,-0.56,0.08
-3.6e-005,-0.56,0.08
-3.4e-005,-0.56,0.08
-3.2e-005,-0.56,0.08
-3e-005,-0.56,0.08
-2.8e-005,-0.56,0.08
-2.6e-005,-0.56,0.08
-2.4e-005,-0.56,0.08
-2.2e-005,-0.56,0.08
-2e-005,-0.56,0.08
-1.8e-005,-0.56,0.08
-1.6e-005,-0.56,0.16
-1.4e-005,-0.6,0.08
-1.2e-005,-0.56,0.08
-1e-005,-0.56,0.08
-8e-006,-5.88,-7.36
-6e-006,-5.88,-7.28
-4e-006,-5.88,-7.28
-2e-006,-5.88,-7.28
0,-5.88,-6.56
2e-006,-5.88,7.2
4e-006,-5.88,7.2
6e-006,-5.88,7.28
8e-006,-5.88,7.2
1e-005,-5.88,7.28
1.2e-005,-5.88,7.28
1.4e-005,-5.88,7.28
1.6e-005,-5.88,7.28
1.8e-005,-5.88,7.28
2e-005,-5.88,7.28
2.2e-005,-5.88,7.2
2.4e-005,-5.88,7.28
2.6e-005,-5.88,7.28
2.8e-005,-5.88,7.28
3e-005,-5.88,7.28
3.2e-005,-5.88,7.28
3.4e-005,-5.88,7.28
3.6e-005,-5.88,7.28
3.8e-005,-5.88,7.28
4e-005,-5.88,7.28
4.2e-005,-5.88,7.28
4.4e-005,-5.88,7.28
4.6e-005,-5.88,7.2
4.8e-005,-5.88,7.28
5e-005,-5.88,7.28
5.2e-005,-5.88,7.28
5.4e-005,-5.88,7.28
5.6e-005,-5.88,7.28
5.8e-005,-5.88,7.28
6e-005,-5.88,7.28
6.2e-005,-5.88,7.28
6.4e-005,-5.88,7.28
6.6e-005,-5.88,7.2
6.8e-005,-5.88,7.2
7e-005,-5.88,7.28
7.2e-005,-5.88,7.28
7.4e-005,-5.88,7.2
7.6e-005,-5.88,7.28
7.8e-005,-5.88,7.28
8e-005,-5.88,7.2
8.2e-005,-5.88,7.28
8.4e-005,-5.88,7.28
8.6e-005,-5.88,2.8
8.8e-005,-5.88,0.64
9e-005,-5.88,-0.88
9.2e-005,-5.88,-2.08
9.4e-005,-5.88,-2.88
9.6e-005,-5.88,-3.36
9.8e-005,-5.32,-3.68
0.0001,-4.32,-3.84
0.000102,-3.48,-3.92
0.000104,-2.84,-3.84
0.000106,-2.28,-3.76
0.000108,-1.84,-3.6
0.00011,-1.52,-3.52
0.000112,-1.2,-3.36
0.000114,-1,-3.2
0.000116,-0.8,-3.12
0.000118,-0.68,-3.04
0.00012,-0.56,-2.96
0.000122,-0.48,-2.96
0.000124,-0.48,-2.96
0.000126,-0.48,-2.96
0.000128,-0.52,-2.96
0.00013,-0.56,-3.04
0.000132,-0.64,-3.04
0.000134,-0.68,-3.12
0.000136,-0.72,-3.12
0.000138,-0.76,-3.2
0.00014,-0.84,-3.28
0.000142,-0.88,-3.28
0.000144,-0.96,-3.36
0.000146,-1.04,-3.44
0.000148,-1.12,-3.52
0.00015,-1.24,-3.52
0.000152,-1.32,-3.52
0.000154,-1.4,-3.52
0.000156,-1.48,-3.6
0.000158,-1.52,-3.6
0.00016,-1.52,-3.6
0.000162,-1.6,-3.68
0.000164,-1.64,-3.68
0.000166,-1.72,-3.68
0.000168,-1.8,-3.6
0.00017,-1.88,-3.6
0.000172,-1.92,-3.6
0.000174,-1.96,-3.52
0.000176,-2,-3.6
0.000178,-2.04,-3.6
0.00018,-2.08,-3.6
0.000182,-2.12,-3.6
0.000184,-2.16,-3.52
0.000186,-2.2,-3.52
0.000188,-2.28,-3.52
0.00019,-2.32,-3.52
0.000192,-2.4,-3.52
0.000194,-2.44,-3.44
0.000196,-2.52,-3.44
0.000198,-2.56,-3.44
0.0002,-2.6,-3.36
0.000202,-2.6,-3.44
0.000204,-2.64,-3.36
0.000206,-2.68,-3.36
0.000208,-2.72,-3.28
0.00021,-2.76,-3.28
0.000212,-2.84,-3.28
0.000214,-2.88,-3.28
0.000216,-2.92,-3.2
0.000218,-2.96,-3.12
0.00022,-3,-3.2
0.000222,-3.08,-3.12
0.000224,-3.08,-3.12
0.000226,-3.08,-3.04
0.000228,-3.12,-2.96
0.00023,-3.16,-2.96
0.000232,-3.2,-2.88
0.000234,-3.28,-2.88
0.000236,-3.32,-2.88
0.000238,-3.36,-2.8
0.00024,-3.4,-2.8
0.000242,-3.44,-2.72
0.000244,-3.48,-2.64
0.000246,-3.48,-2.64
0.000248,-3.52,-2.64
0.00025,-3.6,-2.56
0.000252,-3.6,-2.56
0.000254,-3.64,-2.48
0.000256,-3.68,-2.48
0.000258,-3.72,-2.4
0.00026,-3.76,-2.32
0.000262,-3.8,-2.24
0.000264,-3.8,-2.32
0.000266,-3.84,-2.24
0.000268,-3.88,-2.16
0.00027,-3.88,-2.16
0.000272,-3.88,-2.08
0.000274,-3.92,-2
0.000276,-3.96,-1.92
0.000278,-4.04,-1.92
0.00028,-4.04,-1.84
0.000282,-4.04,-1.84
0.000284,-4.12,-1.84
0.000286,-4.08,-1.76
0.000288,-4.08,-1.68
0.00029,-4.08,-1.68
0.000292,-4.12,-1.52
0.000294,-4.16,-1.52
0.000296,-4.16,-1.52
0.000298,-4.16,-1.44
0.0003,-4.2,-1.36
0.000302,-4.24,-1.36
0.000304,-4.28,-1.28
0.000306,-4.28,-1.2
0.000308,-4.28,-1.2
0.00031,-4.28,-1.12
0.000312,-4.28,-1.12
0.000314,-4.32,-0.96
0.000316,-4.32,-0.88
0.000318,-4.36,-0.88
0.00032,-4.36,-0.72
0.000322,-4.36,-0.64
0.000324,-4.4,-0.64
0.000326,-4.36,-0.64
0.000328,-4.4,-0.48
0.00033,-4.36,-0.4
0.000332,-4.36,-0.4
0.000334,-4.36,-0.32
0.000336,-4.36,-0.32
0.000338,-4.36,-0.24
0.00034,-4.36,-0.16
0.000342,-4.4,-0.16
0.000344,-4.4,-0.08
0.000346,-4.4,0
0.000348,-4.4,0
0.00035,-4.36,0.08
0.000352,-4.4,0.16
0.000354,-4.36,0.16
0.000356,-4.32,0.24
0.000358,-4.28,0.32
0.00036,-4.28,0.4
0.000362,-4.28,0.4
0.000364,-4.28,0.48
0.000366,-4.28,0.56
0.000368,-4.32,0.64
0.00037,-4.28,0.64
0.000372,-4.24,0.8
0.000374,-4.24,0.8
0.000376,-4.2,0.88
0.000378,-4.2,0.88
0.00038,-4.2,0.96
0.000382,-4.2,1.04
0.000384,-4.16,1.04
0.000386,-4.16,1.12
0.000388,-4.16,1.12
0.00039,-4.16,1.2
0.000392,-4.12,1.28
0.000394,-4.16,1.36
0.000396,-4.12,1.44
0.000398,-4.08,1.44
0.0004,-4.04,1.52
0.000402,-4,1.6
0.000404,-3.96,1.6
0.000406,-3.92,1.68
0.000408,-3.88,1.76
0.00041,-3.84,1.84
0.000412,-3.84,1.84
0.000414,-3.8,1.92
0.000416,-3.76,1.92
0.000418,-3.72,2
0.00042,-3.68,2
0.000422,-3.64,2.08
0.000424,-3.64,2.08
0.000426,-3.6,2.16
0.000428,-3.56,2.16
0.00043,-3.56,2.32
0.000432,-3.52,2.32
0.000434,-3.48,2.32
0.000436,-3.44,2.32
0.000438,-3.44,2.4
0.00044,-3.36,2.48
0.000442,-3.32,2.48
0.000444,-3.28,2.56
0.000446,-3.24,2.56
0.000448,-3.24,2.64
0.00045,-3.2,2.64
0.000452,-3.16,2.72
0.000454,-3.16,2.72
0.000456,-3.08,2.8
0.000458,-3,2.8
0.00046,-3,2.8
0.000462,-2.96,2.88
0.000464,-2.88,2.88
0.000466,-2.84,2.96
0.000468,-2.84,2.88
0.00047,-2.8,2.96
0.000472,-2.76,3.04
0.000474,-2.72,3.04
0.000476,-2.68,3.04
0.000478,-2.64,3.12
0.00048,-2.56,3.12
0.000482,-2.48,3.12
0.000484,-2.44,3.2
0.000486,-2.4,3.2
0.000488,-2.4,3.2
0.00049,-2.32,3.28
0.000492,-2.28,3.28
0.000494,-2.2,3.36
0.000496,-2.16,3.36
0.000498,-2.12,3.36
0.0005,-2.08,3.36
0.000502,-2,3.44
0.000504,-1.92,3.36
0.000506,-1.88,3.44
0.000508,-1.84,3.44
0.00051,-1.76,3.44
0.000512,-1.72,3.44
0.000514,-1.64,3.44
0.000516,-1.6,3.52
0.000518,-1.56,3.52
0.00052,-1.52,3.52
0.000522,-1.44,3.52
0.000524,-1.4,3.52
0.000526,-1.32,3.6
0.000528,-1.28,3.6
0.00053,-1.24,3.6
0.000532,-1.2,3.6
0.000534,-1.16,3.6
0.000536,-1.12,3.6
0.000538,-1.08,3.6
0.00054,-1,3.6
0.000542,-0.96,3.6
0.000544,-0.92,3.6
0.000546,-0.84,3.6
0.000548,-0.76,3.6
0.00055,-0.72,3.6
0.000552,-0.68,3.6
0.000554,-0.64,3.6
0.000556,-0.56,3.6
0.000558,-0.56,3.6
0.00056,-0.48,3.6
0.000562,-0.44,3.6
0.000564,-0.4,3.6
0.000566,-0.32,3.6
0.000568,-0.24,3.52
0.00057,-0.2,3.52
0.000572,-0.16,3.52
0.000574,-0.12,3.52
0.000576,-0.08,3.52
0.000578,-0.04,3.44
0.00058,0,3.44
0.000582,0.04,3.44
0.000584,0.12,3.44
0.000586,0.16,3.44
0.000588,0.2,3.44
0.00059,0.28,3.36
0.000592,0.32,3.36
0.000594,0.36,3.36
0.000596,0.4,3.36
0.000598,0.44,3.36
0.0006,0.48,3.36
0.000602,0.52,3.36
0.000604,0.56,3.36
0.000606,0.6,3.28
0.000608,0.64,3.2
